tic,ra,dec,n_sectors,min_sector,max_sector,observed_sectors,sectors_since_94,observed_since_94,resolver
266773101,61.54435595,51.47366457,3,19,86,"19,59,86",,False,local
267138970,316.365256,51.05464773,8,15,83,"15,16,55,56,75,76,82,83",,False,local
267166845,49.37358862,-87.21601789,9,12,94,"12,13,27,39,65,66,67,93,94",94,True,local
267361631,8.815667256,-73.66970039,8,1,95,"1,13,27,28,67,68,94,95","94,95",True,local
267483361,298.7826004,59.45220501,20,14,84,"14,15,16,17,24,41,47,54,55,56,57,60,74,75,76,77,81,82,83,84",,False,local
267489265,298.7813369,54.7815345,12,14,83,"14,15,16,54,55,56,74,75,76,81,82,83",,False,local
267490092,9.760327601,-76.96875234,7,13,95,"13,27,28,67,68,94,95","94,95",True,local
267552804,298.8547232,54.3751514,12,15,83,"15,16,41,54,55,56,74,75,76,81,82,83",,False,local
267675314,289.9808169,53.36343904,18,14,83,"14,15,16,26,40,41,53,54,55,56,73,74,75,76,80,81,82,83",,False,local
267751030,293.1443971,54.55185139,14,14,83,"14,15,16,40,41,54,55,56,60,74,76,81,82,83",,False,local
267811506,293.2347716,59.4399997,34,14,85,"14,15,16,17,20,21,23,24,26,40,41,47,50,51,53,54,55,56,57,58,59,60,73,74,75,76,77,78,80,81,82,83,84,85",,False,local
268380299,298.8002031,46.66556275,10,14,82,"14,15,41,54,55,56,74,75,81,82",,False,local
268381049,298.7975723,46.9302417,10,14,82,"14,15,41,54,55,56,74,75,81,82",,False,local
268809852,280.0725733,-66.01603717,2,13,39,"13,39",,False,local
268815631,282.0944712,-51.68007987,4,13,94,"13,66,93,94",94,True,local
268839084,299.4837977,42.26077656,9,14,82,"14,15,41,54,55,74,75,81,82",,False,local
269304135,291.5542939,-37.36456024,4,13,94,"13,27,67,94",94,True,local
269450900,292.1952865,-36.00025965,4,13,94,"13,27,67,94",94,True,local
269696438,301.6072017,68.2910604,39,14,86,"14,15,16,17,18,19,20,21,22,23,24,25,26,41,48,49,50,51,52,53,54,55,56,57,58,59,60,73,74,75,76,77,78,79,82,83,84,85,86",,False,local
269701147,302.0239791,66.85057654,30,14,86,"14,15,16,17,18,19,21,22,24,25,41,48,49,51,52,55,56,58,59,60,73,75,76,77,78,79,82,83,85,86",,False,local
269852699,69.88398362,-79.72741861,22,1,95,"1,5,8,12,13,27,28,32,35,38,39,61,62,65,66,67,68,88,89,93,94,95","94,95",True,local
269916109,153.0542684,-85.09425998,8,11,93,"11,12,13,38,39,65,66,93",,False,local
270204401,332.7185668,-71.97579078,6,1,95,"1,13,27,67,94,95","94,95",True,local
270272800,333.865028,-75.73140068,6,1,95,"1,13,27,67,94,95","94,95",True,local
270275812,334.099064,-76.25090779,5,1,95,"1,13,27,94,95","94,95",True,local
270341214,33.4582517,-80.58279434,10,1,95,"1,13,27,28,39,66,67,68,93,95",95,True,local
270429419,96.3565584,-83.0431104,13,11,94,"11,12,13,27,31,38,39,61,65,67,88,93,94",94,True,local
270452481,264.3140861,43.69819258,7,25,80,"25,26,40,52,53,79,80",,False,local
270507297,98.84101278,-79.70234894,26,1,95,"1,4,7,8,11,12,13,27,28,31,34,37,38,39,61,62,64,65,66,67,87,88,89,93,94,95","94,95",True,local
271581073,319.5511424,-77.52908939,6,13,94,"13,27,66,67,93,94",94,True,local
271903247,113.3631131,-76.08448143,37,1,94,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,62,63,64,66,67,87,88,89,90,93,94",94,True,local
271905978,113.5078708,-72.16501171,41,2,96,"2,3,4,5,6,7,8,9,10,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,96","94,95,96",True,local
271975434,114.2384123,-75.14746158,40,1,94,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,69,87,88,89,90,93,94",94,True,local
272178884,295.9959974,42.77755675,8,14,82,"14,15,54,55,74,75,81,82",,False,local
272181655,296.0881102,41.89383502,9,14,82,"14,15,41,54,55,74,75,81,82",,False,local
272364793,296.4439943,46.37052261,9,14,82,"14,15,41,54,55,74,75,81,82",,False,local
272368236,296.4082026,44.96374174,9,14,82,"14,15,41,54,55,74,75,81,82",,False,local
272489043,296.5647141,43.94759422,9,14,82,"14,15,41,54,55,74,75,81,82",,False,local
272650576,233.239504,70.70439111,24,14,83,"14,15,16,20,21,22,23,26,40,41,47,48,49,50,53,56,60,74,75,76,77,80,81,83",,False,local
272783172,238.4023287,68.72011434,34,14,84,"14,16,17,18,19,20,21,22,23,24,26,40,41,47,48,49,50,51,53,54,55,56,57,60,74,75,76,77,78,79,80,81,83,84",,False,local
273308789,322.6886532,-79.06568749,6,13,94,"13,27,66,67,93,94",94,True,local
273697554,339.4515881,-80.9184376,6,13,94,"13,27,66,67,93,94",94,True,local
273758462,300.8683489,36.3657205,9,14,82,"14,15,41,54,55,74,75,81,82",,False,local
273941203,86.73860388,43.53723678,2,19,59,"19,59",,False,local
274161343,316.4871231,45.7176019,8,15,83,"15,16,55,56,75,76,82,83",,False,local
274171474,316.4472797,46.99628508,7,15,83,"15,16,55,56,76,82,83",,False,local
274509791,254.0756374,52.69843044,13,23,80,"23,24,25,26,50,51,52,53,73,77,78,79,80",,False,local
274535454,316.8030358,43.87231975,8,15,83,"15,16,55,56,75,76,82,83",,False,local
274575202,254.8253128,53.80728685,20,16,84,"16,20,23,24,25,26,50,51,52,53,56,57,59,73,77,78,79,80,83,84",,False,local
274643143,301.2999944,37.49676397,9,14,82,"14,15,41,54,55,74,75,81,82",,False,local
275119073,323.2058568,40.60932081,6,15,83,"15,16,56,76,82,83",,False,local
275720352,318.7467878,45.41120877,8,15,83,"15,16,55,56,75,76,82,83",,False,local
275758701,305.2708775,43.67517586,8,14,82,"14,15,41,55,56,76,81,82",,False,local
275770230,49.19380576,66.33152983,4,18,86,"18,19,59,86",,False,local
276477308,308.2746185,56.02784444,12,15,84,"15,16,41,55,56,57,75,76,77,82,83,84",,False,local
276645751,265.3563634,-82.65615982,6,12,94,"12,13,39,66,93,94",94,True,local
276843427,283.1736984,-30.73406367,4,13,94,"13,67,92,94",94,True,local
276936320,83.65036911,-69.76013942,37,1,96,"1,2,3,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,35,36,37,38,39,61,62,63,64,65,66,68,69,87,88,89,93,95,96","95,96",True,local
276977291,277.9884047,-79.22475065,7,12,94,"12,13,39,66,67,93,94",94,True,local
277069819,279.6293364,-81.28727235,8,12,94,"12,13,27,39,66,67,93,94",94,True,local
277069829,279.5121531,-81.3073391,8,12,94,"12,13,27,39,66,67,93,94",94,True,local
277123828,281.2866614,-80.93748181,8,12,94,"12,13,27,39,66,67,93,94",94,True,local
277269411,283.5329861,-33.09314597,4,13,94,"13,67,92,94",94,True,local
277373239,283.7204246,-34.03656036,4,13,94,"13,67,92,94",94,True,local
277373256,283.6928901,-34.03133657,4,13,94,"13,67,92,94",94,True,local
277590781,283.8855199,-32.02345463,4,13,94,"13,67,92,94",94,True,local
277816903,284.1951924,-30.02429951,2,13,92,"13,92",,False,local
277995171,302.7502956,21.53460848,5,14,81,"14,41,54,55,81",,False,local
