astro_id,tic,n_pts,P0,P_bls,t0_bls,snr_P0,snr_bls,dpri,dsec,oe_z,half_period_sig,stale_ratio,weak,catalog_unrelated,single_sector,risk_score,flag,note
3635,451614364,42034,0.972809,0.97247,1572.14653,1.8,13.1,12.5,22.6,7.0,True,7.34,False,False,True,1.05,half_period,
3636,451682970,23527,1.905448,1.890862,1573.01267,2.2,2.4,0.8,0.9,0.1,False,1.1,True,False,True,0.55,weak,
3637,451826702,30542,1.439476,1.440075,1571.47295,3.4,4.1,6.6,5.8,0.6,False,1.21,True,False,True,0.75,weak,
3638,452117876,30567,0.425587,0.425855,1571.22518,4.3,6.6,14.0,14.8,0.7,False,1.54,False,False,True,0.6,stale,
3623,450858093,41892,0.890963,0.890508,1599.98488,2.5,6.7,12.4,15.0,1.7,False,2.72,False,False,True,0.6,stale,
3624,450949884,43785,0.684019,0.684647,1599.65351,6.6,11.0,16.1,22.1,4.2,False,1.65,False,False,True,0.6,stale,
3626,450999224,41844,1.660309,1.660135,1572.34383,2.0,5.3,5.5,2.5,2.1,False,2.58,False,False,True,0.6,stale,
3627,451094183,52252,2.642994,2.642784,1600.26609,10.6,12.5,24.2,26.3,1.1,False,1.18,False,False,True,0.25,ok,
3654,455311320,26394,1.643072,1.643073,1601.19531,8.5,8.8,22.8,21.4,1.4,False,1.04,False,False,True,0.25,ok,
3655,455318073,26390,1.384739,1.384748,1600.98823,23.6,22.5,47.7,46.0,2.0,False,0.95,False,False,True,0.25,ok,
3656,455374178,26402,3.563368,3.565073,1601.47736,2.4,21.1,36.1,20.0,7.9,True,8.65,False,False,True,1.05,half_period,
3657,455387814,26395,2.945559,2.939095,1602.15084,2.7,9.3,16.6,19.0,1.4,False,3.49,False,False,True,0.6,stale,
3619,450731673,47013,1.684338,1.680497,1599.73268,6.7,11.2,11.6,8.8,2.1,False,1.68,False,False,True,0.6,stale,
3620,450823001,52097,0.74513,0.744756,1600.14286,4.0,4.6,8.6,8.4,0.1,False,1.15,True,False,True,0.55,weak,
3621,450829879,52105,1.252769,1.250983,1600.57185,3.1,11.0,13.5,21.1,5.8,True,3.58,False,False,True,1.05,half_period,
3622,450845097,41337,1.536698,1.535852,1571.47092,3.4,9.3,18.0,13.4,2.9,False,2.75,False,False,True,0.6,stale,
