source_id,ra,dec,frequency
6647827419581486336,272.49502410716707,-58.11269923059975,0.3931183753668036
6647712722475557248,271.9873851111107,-58.53429357090848,0.2558421328676212
6667111376061883136,300.80684836258945,-50.3877499668716,1.376636113495263
6684831036736744448,294.6645693183522,-45.01033740914326,0.7397032797818327
6750919828825203328,295.02046924852664,-32.40228055472961,1.126675112181204
6652551643088900992,276.2199388156649,-54.54951242759012,0.4539770238431332
6649292003429888128,274.3772252717102,-56.28597375518217,0.5848601477450239
4677731006145097984,71.71818202173243,-60.60294548974753,0.911952108110958
6759073085509847168,287.6510604742916,-30.34212845403308,1.1255170947601263
6656655157923299968,285.49134118845734,-52.90761114871165,0.3525042572722685
6647704819735755648,271.0670593714432,-58.78242165735725,0.623098958374242
6661645806841901184,289.0161317792644,-47.7216394502887,0.4832614234080017
6757703021001380096,290.1808119549354,-32.0133636892234,0.3092068396704877
6756414633885621760,288.29022617218584,-32.266860555595045,1.0725171013446428
5921251061995122048,266.07607993472413,-54.921330758277634,0.061536350010143
4642990115198671616,50.742752845840215,-70.78857552385988,1.00292454223495
6644837057190432640,288.9815842960923,-52.857202444230495,1.5835962142614763
4654166307300552064,67.66234314835565,-70.49971029383998,0.0062787967685022
6710041768911976576,280.71314315919875,-43.18921193283857,1.004958697
4643677962801758976,38.72861852709217,-73.25872716647086,0.9478324474552772
6467626152503549568,306.64018658174365,-58.19366805005363,1.5167870395773562
4684818698623432576,13.286450228354411,-74.65146206232345,0.1786241499178322
6468834004683136640,305.43117648874954,-56.32311337341848,0.4646038437402052
6685299634847804544,298.2095659052703,-43.02819208253997,0.4153557551680997
6645265660564108032,294.8439136476879,-52.6301207732539,0.4672562211334811
6669962615871599488,298.0690728186781,-49.9427260958988,0.501231633198999
4684490872353267712,16.832995896991502,-75.4026609179305,1.5753873498432305
6355748580931061760,322.688685777977,-79.06570060218434,0.2696170035298009
4635887888558886528,9.76102251930053,-76.96863882538416,0.869352850638622
5212158008737453056,92.1940122345252,-78.25653259309075,0.3525677831936643
6722373856969638272,281.1344755629532,-41.78295687438742,1.7954628955609448
4623079368367932416,84.90021086725432,-79.97749959819164,0.5430106360701226
6357284667394637312,334.0990882611617,-76.25091049763266,0.2981950165160615
6383172599951113088,332.7186458665528,-71.97579637348421,0.2234033035766184
6717709007091136512,288.30273212284607,-39.75068579778843,0.7595849902152968
4634691654267519616,11.462161710782723,-78.82134687272332,0.1885022696134111
6716771093611517952,284.5206307872487,-40.362081281095165,0.5275123639384736
6378219879888161920,351.9026789344088,-74.05096066517247,1.0756433404038055
6701525467243210240,272.4738121463474,-53.02498324035094,0.2699117012487762
6360473800872076288,281.2866986036008,-80.93760595119663,0.7785054026437211
5811601509001574912,261.3901086553686,-67.56481119091231,0.1631097577063431
5480636311333638272,104.24541465067236,-59.16109155465112,0.941834435883243
5196343732995735936,123.36554200437386,-81.32719252638067,0.7188068730307594
5812440749914795520,264.91411255802905,-66.98037285632381,0.335038738710553
6687082179418037760,298.6007839970724,-41.86296881064525,1.0346130068561896
5909974646842451200,262.99671684087554,-63.838280568130045,0.5982626866982417
6630640231775137536,272.6745843554712,-63.677067090439614,0.1272558805247843
5813797512901248768,263.28209570918864,-65.20494226188443,1.1690922880485286
5811904664972614016,269.9605289563382,-69.17827548711298,0.6558822393457427
4637645079939012736,22.800222037794736,-75.94728952673296,3.0618786730028127
5811055910713308672,259.5683488007173,-70.00390480683345,0.2213229200576912
6436567736456856832,276.3965230322443,-66.59382300191582,0.7577953702692868
5267716679183867264,114.41676933278012,-69.54228698349628,0.3625763858476322
5268259902350334464,107.5254932610596,-69.53783442811522,0.560885973561248
4632837740224293120,37.31721760749115,-78.46415043660497,0.4301169241452453
6642009319441613312,294.04454790325,-54.48516874463076,0.8757803333107245
5909197154677059584,266.9395962690458,-64.09933806116061,3.674443097428053
6349027158974799744,304.8004222633487,-82.06182418265817,0.4220266802050417
4626442671359540992,50.98118600517995,-78.65625813515521,1.088178550131977
5803342806584397440,264.26704166436014,-73.28143405241146,0.2785688619648597
6342160266479772288,332.35226131768553,-86.25090103325171,1.0788821573004317
5776961536904089600,261.6923873238188,-77.30134084058895,0.866471084864451
5920579505212825216,269.12325734859684,-55.16158529445253,0.0471284144522673
6400310687693547648,323.71063125047226,-66.72559970036053,0.1292190127738183
5801236859560401152,269.8804123447192,-76.3020652750049,0.4163130341400406
5292428306097203328,114.76548841691118,-60.61901759667116,0.8190174787347121
6414318225315108224,273.6716511813232,-75.9251994583285,0.1704867676480365
6431159410558514432,270.2050597447807,-72.08207846249556,0.3077345421097329
6445369876791839616,295.7760134424757,-60.77875737693432,0.8459744887255763
6428414376702264192,297.5707959931536,-65.78308833217353,0.0090741601782231
6453789833757870848,309.98206520127354,-62.17836476103515,1.0292899786095948
6359727438634563072,289.9882059223333,-81.97465426464157,0.4822797540154495
6631025851118283904,276.679825897791,-62.871990834558574,0.4050113713225732
4616173335835415936,59.68707879172053,-81.68413330513525,1.462495001817936
6686743912089812480,299.02522633862395,-42.953592772999855,0.7103897328319921
6636750939442787456,284.0411925508563,-57.63819519319042,1.3835263233484298
6401076360103547648,316.7045530527655,-66.56432919640295,0.3304187100831854
6374595928218781312,306.0079251646974,-71.08086855695025,0.1317387121608592
6365537223717142912,288.93624148015925,-76.38942040434264,1.6334559699001132
6444228652440716672,302.0674464570501,-58.97494727311312,0.7427159214652708
6471974656568861184,302.1264565404074,-56.26363330702659,1.45261363444882
6422436057101391488,298.8789640369483,-71.26130519260117,0.3046128641187526
6366727170175711104,301.0553668164486,-75.4392244327565,3.2958275269580826
5776790803360400640,261.441953637041,-78.3906325498041,0.3238328164580732
5778711753257380736,243.7070530129668,-79.14875470432166,0.8352676964949121
6435802884381655552,273.3602925412777,-68.41581025589437,0.3895225320852753
6434354312172647808,289.17780629472145,-66.07792047476262,0.1689156233850976
5779111460094661632,241.24826862971247,-78.01499499847526,0.0554956176269575
5911722389295755008,269.94670752596056,-60.57649464889284,0.4220098927938842
6658794940690081024,292.4872907190277,-49.68964508802219,1.045682907108689
5188381039724374656,135.99634735726792,-88.55209840171334,1.1444571581652407
6757323796870823040,287.0626188540502,-31.348608310586364,1.7548763828798726
6434285317818013184,289.14255595390733,-66.47454706933546,0.3624221400464797
6347252650288087296,287.40380871002657,-82.95964241469483,0.5721075599622287
4657996005080302720,82.91800967814328,-69.88370594667612,1.911683855408848
6640096822044947200,290.59346689493395,-56.43238175632484,1.7867084809200648
5772139422500885120,235.2546416245852,-81.43491670982161,0.3487921736521422
6445574587815835392,293.02537874622925,-60.45609184738961,1.560703689961858
6367565822671341952,298.8678908687109,-74.77210898119694,0.3340696232853646
6423640915687944960,296.7965879701695,-69.23079988955867,0.3439025655361051
6427051046702420096,295.9916780336925,-67.45752934271977,1.1569770356333504
6431047122932211072,306.6975442397761,-61.1857940580344,0.1270199854461216
6439367711536089728,282.2645498718658,-63.26950306762573,0.3638524129390619
6630119333842656384,279.6842447121708,-63.09705875844495,1.5204046561198503
6632946319973423616,282.4053880351788,-60.03731041356481,0.395682507002467
6341587519704219392,307.12499186364545,-87.77133485122,0.4559847801236674
6367688864893017344,299.9101282328886,-74.23718205504095,0.3324247305670984
4678279593727349632,66.39748524783926,-60.756854159731645,0.4797093659214367
5929845532075830784,252.77269730385612,-54.7317528178479,0.421794070657817
5924729165188790016,261.1089320006362,-52.567286825795016,0.5229610215748433
4776390974778855168,71.988521615583,-56.00692022526654,0.5446321860982187
5942711162468925056,250.36379609126476,-46.91249247702367,0.5301117823405813
4776318613169946624,73.11768771718437,-55.69703524080481,0.4919624959070333
5950969693060775040,259.7149601443027,-47.6281123248023,0.2400276256260957
5967651109840020096,249.991932601612,-43.24281726884396,0.5886167732261496
6109018309102909568,207.57575987204555,-42.85475700061991,0.405631467598989
5829404324574316800,244.5944743130596,-62.737511398933535,1.402356317893368
4775475115952760448,66.63780532705447,-56.44483450507595,0.5844683900963585
5868419807507981440,201.6630252556432,-62.0176354599725,0.1788590224185919
5808233021993990144,254.49785075621335,-68.86086525733764,0.8050443709101673
5878430345468523264,217.97696612038905,-61.11064492682234,0.5367615686045282
6057096445166423296,194.1567418209257,-59.21005314128576,0.5077854360412116
5836210851377856000,241.06662343158465,-56.440959142716345,0.4529668785688467
5354590329853072000,158.74402198897997,-52.77689019919067,0.0317687763167782
5969002066056175360,250.63703769031696,-41.07083053157002,0.7769749635331682
5876648861763533696,229.52751237349813,-60.094156297851065,0.498038204669428
5889148659731027840,233.41230538923048,-51.63402236992832,0.7234857684008889
